New game started. Field size 23:11. Player start position: (1, 1)
Command executed. Input: 1, Command: StartCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: w, Command: MoveCommand
Command executed. Input: w, Command: MoveCommand
Command executed. Input: w, Command: MoveCommand
Command executed. Input: w, Command: MoveCommand
Command executed. Input: w, Command: MoveCommand
Command executed. Input: w, Command: MoveCommand
Command executed. Input: w, Command: MoveCommand
Command executed. Input: w, Command: MoveCommand
Command executed. Input: w, Command: MoveCommand
Command executed. Input: w, Command: MoveCommand
Command executed. Input: w, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: w, Command: MoveCommand
Command executed. Input: w, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: w, Command: MoveCommand
Command executed. Input: w, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Player won. Player health: 10. Player score: 40
Command executed. Input: q, Command: QuitCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: w, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: w, Command: MoveCommand
Command executed. Input: w, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: d, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Command executed. Input: s, Command: MoveCommand
Player won. Player health: 100. Player score: 20
Command executed. Input: q, Command: QuitCommand
Command executed. Input: q, Command: QuitCommand
Command executed. Input: m, Command: MenuCommand
Command executed. Input: 2, Command: SelectCommand
Command executed. Input: x, Command: SelectLevelCommand
Command executed. Input: q, Command: QuitCommand
New game started. Field size 47:23. Player start position: (1, 1)
Command executed. Input: 1, Command: StartCommand
Command executed. Input: q, Command: QuitCommand
Command executed. Input: m, Command: MenuCommand
Command executed. Input: 0, Command: ExitCommand
